name,gb,gddr,price,link
Zotac Gaming Geforce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6,8,GDDR6,579.89,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3060-ti-twin-edge-oc-lhr-8gb-gddr6
Sapphire PULSE AMD Radeon RX 6600 8GB GDDR6,8,GDDR6,409.9,https://www.pccomponentes.com/sapphire-pulse-amd-radeon-rx-6600-8gb-gddr6
Zotac Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6,12,GDDR6,479.9,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3060-twin-edge-oc-12gb-gddr6
MSI GeForce RTX 3060 VENTUS 2X OC 12GB GDDR6,12,GDDR6,489.89,https://www.pccomponentes.com/msi-geforce-rtx-3060-ventus-2x-oc-12gb-gddr6
Gigabyte GeForce RTX 3060 GAMING OC 12GB GDDR6 Rev 2.0,12,GDDR6,543.52,https://www.pccomponentes.com/gigabyte-geforce-rtx-3060-gaming-oc-12gb-gddr6-rev-20
Zotac Gaming GeForce RTX 2060 6GB GDDR6,6,GDDR6,399.89,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-2060-6gb-gddr6
Zotac Gaming GeForce RTX 3070 Ti Trinity OC 8GB GDDR6X,8,GDDR6X,848.75,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3070-ti-trinity-oc-8gb-gddr6x
Gigabyte GeForce RTX 3070 Ti GAMING OC 8GB GDDR6X,8,GDDR6X,859.9,https://www.pccomponentes.com/gigabyte-geforce-rtx-3070-ti-gaming-oc-8gb-gddr6x
Gigabyte GeForce RTX 3050 GAMING OC 8GB GDDR6,8,GDDR6,429.95,https://www.pccomponentes.com/gigabyte-geforce-rtx-3050-gaming-oc-8gb-gddr6
Gigabyte GeForce RTX 3060 Ti Gaming OC LHR 8GB GDDR6,8,GDDR6,689.39,https://www.pccomponentes.com/gigabyte-geforce-rtx-3060-ti-gaming-oc-lhr-8gb-gddr6
MSI GeForce GTX 1650 D6 VENTUS XS OC 4GB GDDR6,4,GDDR6,276.41,https://www.pccomponentes.com/msi-geforce-gtx-1650-d6-ventus-xs-oc-4gb-gddr6
